context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,2,atr,3,0.1,3,0.5,3487,-0.9504,0.4528,24.5196,-99.9000,-99.8992,7847.2244,6.8235,-7.67,0.9753,0.4118,1.7764,75.4804,2607,1015,40.4846,4.8176
1h_n8,3,fractal,-,0,1.5,0,6946,-2.0928,0.2537,22.2142,-100.0000,-100.0000,6286.3915,3.5959,-18.0,2.0251,0.2895,3.5385,86.1503,0,666,38.5878,6.3617
1h_n8,3,fractal,-,0,1.5,0.3,5553,-1.3041,0.2841,26.8143,-99.9996,-99.9996,6396.6414,3.5741,-15.35,1.2587,0.3402,2.8288,82.8741,1399,664,38.5878,6.3617
1h_n8,3,fractal,-,0,1.5,0.5,4044,-1.0375,0.2937,30.8605,-99.9895,-99.9895,6315.6730,3.4176,-12.632,0.9849,0.4063,2.0601,77.4728,2909,655,38.5878,6.3617
1h_n8,3,fractal,-,0,2,0,6873,-2.0638,0.3033,22.0719,-100.0000,-100.0000,6493.3047,4.5855,-16.495,2.0277,0.2899,3.5013,86.0614,0,913,38.5878,6.3617
1h_n8,3,fractal,-,0,2,0.3,5493,-1.2829,0.3368,25.9967,-99.9994,-99.9994,6629.7249,4.5465,-13.938,1.2589,0.3407,2.7983,82.7599,1386,910,38.5878,6.3617
1h_n8,3,fractal,-,0,2,0.5,3999,-1.0196,0.3583,28.0820,-99.9847,-99.9847,6708.4895,4.3165,-11.267,0.9851,0.4072,2.0372,77.2943,2881,897,38.5878,6.3617
1h_n8,3,fractal,-,0,3,0,6744,-2.0033,0.3154,19.8102,-100.0000,-100.0000,6159.1825,6.3047,-14.017,2.0132,0.2906,3.4356,85.9727,0,1338,38.5878,6.3617
1h_n8,3,fractal,-,0,3,0.3,5388,-1.2422,0.3579,22.2717,-99.9989,-99.9989,6386.8237,6.2302,-11.654,1.2549,0.3417,2.7448,82.6466,1362,1333,38.5878,6.3617
1h_n8,3,fractal,-,0,3,0.5,3925,-0.9848,0.3830,23.0064,-99.9750,-99.9750,6505.9881,5.8494,-9.269,0.9810,0.4083,1.9995,77.1720,2829,1307,38.5878,6.3617
1h_n8,3,fractal,-,0.1,1.5,0,8171,-2.5439,0.2533,20.5972,-100.0000,-100.0000,6306.3087,3.7952,-19.519,2.4660,0.2675,4.1625,87.6392,0,822,38.5878,6.3617
1h_n8,3,fractal,-,0.1,1.5,0.3,6068,-1.3262,0.2932,26.6480,-99.9999,-99.9999,6512.5420,3.7654,-15.902,1.2820,0.3325,3.0912,83.5860,2112,819,38.5878,6.3617
1h_n8,3,fractal,-,0.1,1.5,0.5,4318,-1.0441,0.2981,30.8939,-99.9943,-99.9943,6344.2387,3.5888,-12.831,0.9934,0.4013,2.1997,77.9528,3863,809,38.5878,6.3617
1h_n8,3,fractal,-,0.1,2,0,8085,-2.5176,0.3046,20.4700,-100.0000,-100.0000,6533.4653,4.8605,-17.964,2.4684,0.2679,4.1187,87.5572,0,1127,38.5878,6.3617
1h_n8,3,fractal,-,0.1,2,0.3,6004,-1.3075,0.3490,25.7828,-99.9998,-99.9998,6772.0114,4.8076,-14.51,1.2818,0.3330,3.0586,83.4777,2090,1123,38.5878,6.3617
1h_n8,3,fractal,-,0.1,2,0.5,4270,-1.0287,0.3646,27.9391,-99.9919,-99.9919,6765.7666,4.5466,-11.508,0.9932,0.4022,2.1752,77.7752,3825,1107,38.5878,6.3617
1h_n8,3,fractal,-,0.1,3,0,7916,-2.4538,0.3066,18.6079,-100.0000,-100.0000,6136.1888,6.7282,-15.502,2.4554,0.2684,4.0326,87.4558,0,1687,38.5878,6.3617
1h_n8,3,fractal,-,0.1,3,0.3,5882,-1.2710,0.3609,22.0673,-99.9997,-99.9997,6436.2776,6.6354,-12.279,1.2782,0.3336,2.9964,83.3560,2043,1681,38.5878,6.3617
1h_n8,3,fractal,-,0.1,3,0.5,4185,-1.0025,0.3777,22.7479,-99.9876,-99.9876,6437.1885,6.2005,-9.618,0.9895,0.4028,2.1319,77.6344,3745,1645,38.5878,6.3617
1h_n8,3,atr,1.5,0,1.5,0,6640,-2.0621,0.2450,22.6054,-100.0000,-100.0000,6204.8514,3.5906,-17.364,1.9996,0.2900,3.3826,85.9488,0,587,38.8712,6.3403
1h_n8,3,atr,1.5,0,1.5,0.3,5329,-1.2806,0.2761,27.1533,-99.9994,-99.9994,6334.8144,3.5697,-14.787,1.2412,0.3396,2.7147,82.6984,1316,586,38.8712,6.3403
1h_n8,3,atr,1.5,0,1.5,0.5,3910,-1.0243,0.2925,31.2532,-99.9851,-99.9851,6325.5999,3.4238,-12.143,0.9788,0.4035,1.9918,77.3402,2735,584,38.8712,6.3403
1h_n8,3,atr,1.5,0,2,0,6575,-2.0292,0.2930,22.4487,-100.0000,-100.0000,6394.7152,4.6009,-15.907,2.0001,0.2905,3.3495,85.8555,0,829,38.8712,6.3403
1h_n8,3,atr,1.5,0,2,0.3,5278,-1.2564,0.3276,26.3168,-99.9991,-99.9991,6558.8069,4.5646,-13.437,1.2409,0.3401,2.6887,82.5881,1302,828,38.8712,6.3403
1h_n8,3,atr,1.5,0,2,0.5,3871,-1.0058,0.3569,28.3648,-99.9793,-99.9792,6739.1938,4.3483,-10.901,0.9794,0.4041,1.9720,77.1894,2709,825,38.8712,6.3403
1h_n8,3,atr,1.5,0,3,0,6456,-1.9612,0.3174,20.2292,-99.9999,-99.9999,6204.5773,6.3641,-13.333,1.9818,0.2913,3.2888,85.7807,0,1249,38.8712,6.3403
1h_n8,3,atr,1.5,0,3,0.3,5183,-1.2060,0.3637,22.7281,-99.9981,-99.9981,6504.1412,6.2935,-11.058,1.2350,0.3410,2.6403,82.5005,1278,1246,38.8712,6.3403
1h_n8,3,atr,1.5,0,3,0.5,3806,-0.9634,0.3934,23.4104,-99.9639,-99.9638,6692.8879,5.9374,-8.847,0.9760,0.4049,1.9389,77.1151,2657,1235,38.8712,6.3403
1h_n8,3,atr,1.5,0.1,1.5,0,7795,-2.5187,0.2491,21.0391,-100.0000,-100.0000,6310.3485,3.7597,-18.81,2.4473,0.2686,3.9710,87.4663,0,720,38.8712,6.3403
