context,n_5m,detector,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1h_n8,3,fractal,-,0.1,1.5,0.5,4648,-1.3197,0.3080,27.0009,-99.9971,-99.9971,7867.5686,4.1852,-13.813,1.2812,0.3173,2.3678,84.7031,3921,950,38.3090,6.5792
1h_n8,3,fractal,-,0.1,2,0,8457,-2.8248,0.3185,18.4936,-100.0000,-100.0000,8201.6230,5.6189,-18.776,2.8005,0.2163,4.3082,91.3444,0,1326,38.3090,6.5792
1h_n8,3,fractal,-,0.1,2,0.3,6366,-1.6452,0.3623,23.4527,-99.9999,-99.9999,8361.9393,5.5676,-15.518,1.6290,0.2664,3.2430,88.6271,2093,1323,38.3090,6.5792
1h_n8,3,fractal,-,0.1,2,0.5,4595,-1.2962,0.3767,26.4200,-99.9961,-99.9961,8363.1751,5.3080,-12.557,1.2800,0.3183,2.3408,84.6355,3868,1312,38.3090,6.5792
1h_n8,3,fractal,-,0.1,3,0,8268,-2.7661,0.3836,17.4528,-100.0000,-100.0000,8590.0445,7.8086,-16.874,2.7772,0.2178,4.2119,91.2554,0,1990,38.3090,6.5792
1h_n8,3,fractal,-,0.1,3,0.3,6235,-1.6205,0.4253,20.8982,-99.9999,-99.9999,8620.4887,7.7080,-13.865,1.6204,0.2679,3.1763,88.5325,2036,1982,38.3090,6.5792
1h_n8,3,fractal,-,0.1,3,0.5,4497,-1.2701,0.4276,22.2370,-99.9947,-99.9947,8381.6698,7.2749,-11.197,1.2688,0.3203,2.2909,84.5008,3780,1939,38.3090,6.5792
1h_n8,3,atr,1.5,0,1.5,0,6832,-2.3069,0.2641,19.3355,-100.0000,-100.0000,7673.6279,4.0349,-18.027,2.2428,0.2358,3.4804,90.1932,0,649,38.4604,6.5008
1h_n8,3,atr,1.5,0,1.5,0.3,5637,-1.6265,0.2937,22.9377,-99.9997,-99.9997,7899.0878,4.0173,-15.998,1.5770,0.2710,2.8716,88.2029,1196,648,38.4604,6.5008
1h_n8,3,atr,1.5,0,1.5,0.5,4230,-1.2978,0.3222,26.9976,-99.9933,-99.9933,8198.8220,3.8797,-13.241,1.2541,0.3167,2.1549,84.5863,2606,646,38.4604,6.5008
