context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1d_n3,2,fractal,-,0,2,4,1704,-0.0804,0.8029,36.0915,-51.5477,-50.5860,5339.0934,32.3464,-1.413,0.1000,2.8619,0.8681,0.0000,99.9413,3959,35.9794,0.5670
1d_n3,2,fractal,-,0,3,3,1805,-0.1044,0.7928,32.7978,-63.5471,-62.3681,6680.0882,30.6920,-1.478,0.1339,2.1328,0.9195,0.2216,98.9474,3765,35.9794,0.5670
1d_n3,2,fractal,-,0,3,4,1621,-0.0788,0.8112,35.1635,-49.4564,-48.3900,5222.1838,33.9412,-1.215,0.1005,2.8452,0.8258,0.0000,99.9383,4143,35.9794,0.5670
1d_n3,2,fractal,-,0.1,1.5,3,2193,-0.1348,0.7229,35.7045,-78.1844,-77.7784,6401.3632,29.9664,-2.583,0.1329,2.1691,1.1172,0.2280,99.1792,4419,35.9794,0.5670
1d_n3,2,fractal,-,0.1,1.5,4,1899,-0.0873,0.7830,36.8615,-57.6359,-57.1707,5358.6778,34.4182,-1.731,0.0991,2.9192,0.9674,0.1053,99.9473,5036,35.9794,0.5670
1d_n3,2,fractal,-,0.1,2,3,2060,-0.1181,0.7604,33.6408,-71.6596,-71.2650,6498.1038,32.0403,-1.983,0.1322,2.1782,1.0494,0.2427,99.1748,4709,35.9794,0.5670
1d_n3,2,fractal,-,0.1,2,4,1798,-0.0786,0.8093,35.8176,-52.3172,-51.7273,5363.1443,36.0801,-1.382,0.0992,2.9264,0.9159,0.1112,99.9444,5236,35.9794,0.5670
1d_n3,2,fractal,-,0.1,3,3,1919,-0.1060,0.7925,31.9437,-66.0813,-65.1567,6651.0715,34.4826,-1.491,0.1325,2.1826,0.9776,0.2606,99.1141,4993,35.9794,0.5670
1d_n3,2,fractal,-,0.1,3,4,1691,-0.0741,0.8262,34.6541,-48.6004,-47.9006,5334.0723,37.9017,-1.133,0.0997,2.9109,0.8614,0.1183,99.9409,5462,35.9794,0.5670
1d_n3,2,atr,2,0,1.5,3,1689,-0.1647,0.6836,32.9781,-76.4993,-75.5896,5276.9854,23.4684,-2.721,0.1340,2.0983,0.8604,0.1776,98.8159,2102,36.0825,0.3566
1d_n3,2,atr,2,0,1.5,4,1480,-0.1243,0.7184,34.2568,-62.3529,-60.7407,4262.2427,28.0639,-2.134,0.1004,2.8148,0.7539,0.0000,100.0000,2538,36.0825,0.3566
1d_n3,2,atr,2,0,2,3,1609,-0.1516,0.7163,31.5103,-72.5789,-71.1073,5397.3079,25.6184,-2.236,0.1343,2.0965,0.8197,0.1865,98.7570,2284,36.0825,0.3566
1d_n3,2,atr,2,0,2,4,1418,-0.1106,0.7405,33.3568,-56.8124,-55.1435,4132.4107,29.7290,-1.72,0.1002,2.8222,0.7224,0.0000,100.0000,2670,36.0825,0.3566
1d_n3,2,atr,2,0,3,3,1512,-0.1433,0.7275,30.0926,-69.0907,-67.0824,5169.6229,27.9495,-1.829,0.1343,2.1036,0.7702,0.1323,98.8095,2483,36.0825,0.3566
1d_n3,2,atr,2,0,3,4,1357,-0.1002,0.7717,32.6455,-53.8355,-50.3861,4163.6621,31.6230,-1.391,0.1001,2.8362,0.6913,0.0000,100.0000,2818,36.0825,0.3566
