context,n_15m,detector,atr_mult,buffer,r_target,k_stop,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,share_stop_dominated_pct,ignored_in_position,pct_time_neutral_context,context_state_changes_per_week
1d_n3,2,atr,2,0.1,3,4,1464,-0.0975,0.8044,32.7869,-55.9051,-51.7971,6147.5304,38.3142,-1.328,0.1261,2.4394,0.7458,0.4098,99.5902,4205,32.6625,0.3994
1d_n3,3,fractal,-,0,1.5,3,1772,-0.1507,0.7416,35.7223,-74.0372,-73.0599,8376.5366,26.7980,-2.485,0.1811,1.7033,0.9027,3.2167,98.5892,2442,31.2403,0.5741
1d_n3,3,fractal,-,0,1.5,4,1553,-0.1017,0.7767,36.7675,-55.9604,-54.8770,6626.7220,32.0882,-1.763,0.1362,2.2868,0.7911,1.0947,99.4205,2872,31.2403,0.5741
1d_n3,3,fractal,-,0,2,3,1667,-0.1438,0.7521,33.4733,-70.0217,-69.3442,7935.9176,29.4240,-2.065,0.1813,1.7133,0.8492,3.3593,98.5603,2657,31.2403,0.5741
1d_n3,3,fractal,-,0,2,4,1474,-0.1091,0.7683,34.8711,-57.9044,-55.6489,6185.3858,34.5311,-1.713,0.1360,2.3056,0.7509,1.1533,99.3894,3057,31.2403,0.5741
1d_n3,3,fractal,-,0,3,3,1566,-0.1452,0.7598,31.2261,-69.4407,-67.3844,7574.6099,32.3432,-1.773,0.1810,1.7268,0.7978,3.4483,98.5313,2883,31.2403,0.5741
1d_n3,3,fractal,-,0,3,4,1398,-0.0885,0.8195,33.7625,-50.1957,-46.6852,6542.4345,36.6470,-1.191,0.1367,2.3035,0.7122,1.2160,99.3562,3245,31.2403,0.5741
1d_n3,3,fractal,-,0.1,1.5,3,1884,-0.1422,0.7573,36.0934,-74.2306,-73.2136,8775.2313,30.1538,-2.408,0.1781,1.7226,0.9598,3.1316,98.7261,3228,31.2403,0.5741
1d_n3,3,fractal,-,0.1,1.5,4,1611,-0.0985,0.7851,36.8094,-56.3751,-55.1575,6758.9759,35.8656,-1.726,0.1334,2.3199,0.8207,1.1794,99.5655,3791,31.2403,0.5741
1d_n3,3,fractal,-,0.1,2,3,1742,-0.1394,0.7610,33.5821,-70.6058,-69.7893,8066.8572,32.9304,-2.03,0.1780,1.7387,0.8874,3.3295,98.7371,3510,31.2403,0.5741
1d_n3,3,fractal,-,0.1,2,4,1506,-0.1033,0.7843,35.0598,-57.1595,-54.4766,6363.7432,38.2466,-1.608,0.1333,2.3418,0.7672,1.2616,99.5352,4023,31.2403,0.5741
1d_n3,3,fractal,-,0.1,3,3,1612,-0.1372,0.7774,31.4516,-68.8207,-66.3148,7870.7945,35.9257,-1.67,0.1772,1.7572,0.8212,3.4119,98.6973,3804,31.2403,0.5741
1d_n3,3,fractal,-,0.1,3,4,1423,-0.0828,0.8338,33.5207,-49.1273,-45.1169,6693.8165,40.2625,-1.097,0.1338,2.3453,0.7249,1.2649,99.5081,4219,31.2403,0.5741
1d_n3,3,atr,2,0,1.5,3,1599,-0.1554,0.7333,34.8343,-71.8076,-70.7674,7449.7296,23.5339,-2.433,0.1716,1.7687,0.8146,2.6266,98.6241,1774,32.6625,0.3994
1d_n3,3,atr,2,0,1.5,4,1405,-0.1189,0.7502,34.7331,-58.2377,-57.1105,5692.9919,28.4541,-1.943,0.1297,2.3588,0.7157,0.4982,99.4306,2132,32.6625,0.3994
1d_n3,3,atr,2,0,2,3,1518,-0.1593,0.7375,31.6864,-70.8699,-69.9704,7133.4426,26.0347,-2.191,0.1724,1.7696,0.7733,2.7668,98.5507,1943,32.6625,0.3994
1d_n3,3,atr,2,0,2,4,1332,-0.1238,0.7517,32.7327,-58.7831,-56.5842,5429.9659,30.7574,-1.808,0.1293,2.3741,0.6786,0.5255,99.3994,2289,32.6625,0.3994
1d_n3,3,atr,2,0,3,3,1412,-0.1698,0.7315,29.2493,-72.1937,-69.6620,6572.4360,29.0950,-1.973,0.1715,1.7851,0.7193,2.6912,98.6544,2166,32.6625,0.3994
1d_n3,3,atr,2,0,3,4,1245,-0.1186,0.7707,31.4859,-56.4300,-52.8427,5305.1960,33.0688,-1.47,0.1298,2.3786,0.6342,0.5622,99.3574,2475,32.6625,0.3994
1d_n3,3,atr,2,0.1,1.5,3,1723,-0.1519,0.7376,34.9391,-74.0035,-72.8367,7731.8806,26.0469,-2.484,0.1694,1.7848,0.8777,2.4376,98.7232,2302,32.6625,0.3994
1d_n3,3,atr,2,0.1,1.5,4,1486,-0.1017,0.7815,35.3970,-55.2646,-53.7055,6098.6910,31.3792,-1.692,0.1278,2.3913,0.7570,0.2692,99.4616,2752,32.6625,0.3994
1d_n3,3,atr,2,0.1,2,3,1621,-0.1500,0.7484,31.7705,-71.6082,-70.3702,7377.8589,28.8374,-2.111,0.1701,1.7895,0.8258,2.5293,98.6428,2530,32.6625,0.3994
1d_n3,3,atr,2,0.1,2,4,1395,-0.1108,0.7755,32.8315,-57.2620,-54.4564,5711.7334,33.8114,-1.645,0.1273,2.4107,0.7106,0.2867,99.4265,2961,32.6625,0.3994
1d_n3,3,atr,2,0.1,3,3,1495,-0.1552,0.7530,29.2977,-71.6476,-68.6963,6929.4448,31.9860,-1.832,0.1691,1.8089,0.7616,2.4749,98.7291,2803,32.6625,0.3994
1d_n3,3,atr,2,0.1,3,4,1297,-0.0974,0.8133,31.5343,-52.0459,-47.7609,5824.3917,36.1887,-1.22,0.1282,2.4107,0.6607,0.3084,99.3832,3181,32.6625,0.3994
