n_5m,n_1h,atr_mult,buffer,r_target,min_stop_atr,trades,expectancy_r,profit_factor,win_rate_pct,max_drawdown_pct,net_return_pct,fees_paid,exposure_pct,sharpe_annualized,avg_cost_r,avg_stop_pct,trades_per_day,capped_share_pct,skipped_min_stop,ignored_in_position,pct_time_neutral_1h,h1_state_changes_per_week
2,5,2,0.1,1.5,0.5,1603,-0.3211,0.5260,34.3107,-86.7373,-86.6870,8630.1053,11.3298,-5.398,0.3590,1.0021,1.1990,26.2009,0,1046,37.8639,8.0314
2,5,2,0.1,2,0,1532,-0.3417,0.5355,29.6345,-87.5459,-87.3193,8455.5467,12.2102,-5.055,0.3635,0.9842,1.1458,26.8277,0,1160,37.8639,8.0314
2,5,2,0.1,2,0.5,1532,-0.3417,0.5355,29.6345,-87.5459,-87.3193,8455.5467,12.2102,-5.055,0.3635,0.9842,1.1458,26.8277,0,1160,37.8639,8.0314
2,5,2,0.1,3,0,1457,-0.3503,0.5580,26.5614,-87.1307,-86.9182,8570.3754,13.3342,-4.482,0.3696,0.9551,1.0898,27.5909,0,1279,37.8639,8.0314
2,5,2,0.1,3,0.5,1457,-0.3503,0.5580,26.5614,-87.1307,-86.9182,8570.3754,13.3342,-4.482,0.3696,0.9551,1.0898,27.5909,0,1279,37.8639,8.0314
2,5,3,0,1.5,0,1036,-0.2690,0.5423,30.5019,-71.1432,-71.1049,6214.9659,9.9780,-4.296,0.2590,1.3960,0.7749,11.6795,0,825,37.0909,5.4031
2,5,3,0,1.5,0.5,1036,-0.2690,0.5423,30.5019,-71.1432,-71.1049,6214.9659,9.9780,-4.296,0.2590,1.3960,0.7749,11.6795,0,825,37.0909,5.4031
2,5,3,0,2,0,996,-0.2668,0.5614,27.4096,-69.0386,-68.8868,6108.4215,10.6166,-3.673,0.2616,1.3859,0.7450,11.8474,0,875,37.0909,5.4031
2,5,3,0,2,0.5,996,-0.2668,0.5614,27.4096,-69.0386,-68.8868,6108.4215,10.6166,-3.673,0.2616,1.3859,0.7450,11.8474,0,875,37.0909,5.4031
2,5,3,0,3,0,939,-0.2505,0.6002,26.7306,-65.4509,-63.8494,6138.6557,11.0633,-2.903,0.2688,1.3113,0.7023,12.4601,0,951,37.0909,5.4031
2,5,3,0,3,0.5,939,-0.2505,0.6002,26.7306,-65.4509,-63.8494,6138.6557,11.0633,-2.903,0.2688,1.3113,0.7023,12.4601,0,951,37.0909,5.4031
2,5,3,0.1,1.5,0,998,-0.2596,0.5570,31.3627,-68.6660,-68.5316,6085.1050,10.2673,-4.025,0.2555,1.4239,0.7464,11.2224,0,767,37.0909,5.4031
2,5,3,0.1,1.5,0.5,998,-0.2596,0.5570,31.3627,-68.6660,-68.5316,6085.1050,10.2673,-4.025,0.2555,1.4239,0.7464,11.2224,0,767,37.0909,5.4031
2,5,3,0.1,2,0,956,-0.2599,0.5771,28.2427,-66.7730,-66.3864,6008.7386,10.9594,-3.452,0.2590,1.4086,0.7150,11.5063,0,822,37.0909,5.4031
2,5,3,0.1,2,0.5,956,-0.2599,0.5771,28.2427,-66.7730,-66.3864,6008.7386,10.9594,-3.452,0.2590,1.4086,0.7150,11.5063,0,822,37.0909,5.4031
2,5,3,0.1,3,0,903,-0.2535,0.5964,27.3533,-64.3908,-62.9146,5916.4752,11.4682,-2.857,0.2661,1.3278,0.6754,11.9601,0,888,37.0909,5.4031
2,5,3,0.1,3,0.5,903,-0.2535,0.5964,27.3533,-64.3908,-62.9146,5916.4752,11.4682,-2.857,0.2661,1.3278,0.6754,11.9601,0,888,37.0909,5.4031
2,8,1.5,0,1.5,0,2194,-0.4460,0.4334,32.4521,-97.1214,-97.1180,9072.5206,11.6726,-7.984,0.4516,0.7958,1.6410,40.4740,0,1292,37.7766,6.0785
2,8,1.5,0,1.5,0.5,2194,-0.4460,0.4334,32.4521,-97.1214,-97.1180,9072.5206,11.6726,-7.984,0.4516,0.7958,1.6410,40.4740,0,1292,37.7766,6.0785
2,8,1.5,0,2,0,2073,-0.4431,0.4596,28.5094,-96.2658,-96.2603,8985.0574,12.4647,-6.797,0.4575,0.7764,1.5505,41.0999,0,1442,37.7766,6.0785
2,8,1.5,0,2,0.5,2073,-0.4431,0.4596,28.5094,-96.2658,-96.2603,8985.0574,12.4647,-6.797,0.4575,0.7764,1.5505,41.0999,0,1442,37.7766,6.0785
2,8,1.5,0,3,0,1969,-0.4370,0.4888,25.2920,-94.9375,-94.9048,9024.7482,13.6960,-5.516,0.4652,0.7550,1.4727,42.0518,0,1592,37.7766,6.0785
2,8,1.5,0,3,0.5,1969,-0.4370,0.4888,25.2920,-94.9375,-94.9048,9024.7482,13.6960,-5.516,0.4652,0.7550,1.4727,42.0518,0,1592,37.7766,6.0785
2,8,1.5,0.1,1.5,0,2081,-0.4394,0.4289,33.0130,-96.5429,-96.5388,8650.8165,11.8367,-7.689,0.4409,0.8140,1.5565,39.0678,0,1197,37.7766,6.0785
2,8,1.5,0.1,1.5,0.5,2081,-0.4394,0.4289,33.0130,-96.5429,-96.5388,8650.8165,11.8367,-7.689,0.4409,0.8140,1.5565,39.0678,0,1197,37.7766,6.0785
2,8,1.5,0.1,2,0,1972,-0.4359,0.4605,28.9047,-95.6079,-95.6014,8656.4446,12.5546,-6.55,0.4471,0.7910,1.4749,39.8580,0,1342,37.7766,6.0785
2,8,1.5,0.1,2,0.5,1972,-0.4359,0.4605,28.9047,-95.6079,-95.6014,8656.4446,12.5546,-6.55,0.4471,0.7910,1.4749,39.8580,0,1342,37.7766,6.0785
2,8,1.5,0.1,3,0,1873,-0.4419,0.4780,25.1468,-94.6792,-94.6449,8535.8455,13.8685,-5.441,0.4544,0.7712,1.4009,40.6834,0,1494,37.7766,6.0785
2,8,1.5,0.1,3,0.5,1873,-0.4419,0.4780,25.1468,-94.6792,-94.6449,8535.8455,13.8685,-5.441,0.4544,0.7712,1.4009,40.6834,0,1494,37.7766,6.0785
2,8,2,0,1.5,0,1669,-0.3458,0.5117,32.8340,-88.7644,-88.6524,8867.6844,10.8576,-5.637,0.3732,1.0013,1.2483,28.1606,0,1146,38.5745,5.9110
2,8,2,0,1.5,0.5,1669,-0.3458,0.5117,32.8340,-88.7644,-88.6524,8867.6844,10.8576,-5.637,0.3732,1.0013,1.2483,28.1606,0,1146,38.5745,5.9110
2,8,2,0,2,0,1584,-0.3491,0.5291,29.2298,-87.4645,-87.2236,8651.9379,11.5622,-4.92,0.3791,0.9726,1.1847,28.9141,0,1251,38.5745,5.9110
2,8,2,0,2,0.5,1584,-0.3491,0.5291,29.2298,-87.4645,-87.2236,8651.9379,11.5622,-4.92,0.3791,0.9726,1.1847,28.9141,0,1251,38.5745,5.9110
2,8,2,0,3,0,1518,-0.3433,0.5700,27.0092,-86.0240,-85.6242,9026.3387,12.5787,-4.115,0.3847,0.9388,1.1354,29.5125,0,1365,38.5745,5.9110
2,8,2,0,3,0.5,1518,-0.3433,0.5700,27.0092,-86.0240,-85.6242,9026.3387,12.5787,-4.115,0.3847,0.9388,1.1354,29.5125,0,1365,38.5745,5.9110
2,8,2,0.1,1.5,0,1592,-0.3365,0.5104,33.1658,-87.2424,-87.2043,8403.9311,11.1594,-5.482,0.3627,1.0272,1.1907,27.2613,0,1069,38.5745,5.9110
2,8,2,0.1,1.5,0.5,1592,-0.3365,0.5104,33.1658,-87.2424,-87.2043,8403.9311,11.1594,-5.482,0.3627,1.0272,1.1907,27.2613,0,1069,38.5745,5.9110
2,8,2,0.1,2,0,1505,-0.3363,0.5381,29.5017,-85.7097,-85.3962,8417.0173,11.9183,-4.754,0.3685,1.0001,1.1257,28.0399,0,1186,38.5745,5.9110
2,8,2,0.1,2,0.5,1505,-0.3363,0.5381,29.5017,-85.7097,-85.3962,8417.0173,11.9183,-4.754,0.3685,1.0001,1.1257,28.0399,0,1186,38.5745,5.9110
2,8,2,0.1,3,0,1438,-0.3407,0.5767,26.7733,-85.1584,-84.7192,8852.0479,12.9439,-4.104,0.3752,0.9577,1.0755,28.7900,0,1298,38.5745,5.9110
2,8,2,0.1,3,0.5,1438,-0.3407,0.5767,26.7733,-85.1584,-84.7192,8852.0479,12.9439,-4.104,0.3752,0.9577,1.0755,28.7900,0,1298,38.5745,5.9110
2,8,3,0,1.5,0,1023,-0.2898,0.5286,30.1075,-72.5984,-72.5621,6251.0107,9.6481,-4.536,0.2680,1.3952,0.7651,13.0010,0,792,38.0509,4.6702
2,8,3,0,1.5,0.5,1023,-0.2898,0.5286,30.1075,-72.5984,-72.5621,6251.0107,9.6481,-4.536,0.2680,1.3952,0.7651,13.0010,0,792,38.0509,4.6702
